title,content,url,,,,,,,,,
misha,"hello Liz, can you please let me know if we need to mention the name of the segments of a pie chart in the introduction just like we mention the name of categories in line graph ?&lt;br&gt;It isn?ôt related to what type of chart, graph or table you get. That is irrelevant. They are all the same in this respect. The issue is about the logic of how many categories there are to introduce and how lengthy (in words) each category is. If you have for example six sports, such as ?útennis, badminton, hockey, swimming, football and basketball?? then it?ôs logical to introduce them because that is only 7 words. But if the categories are ?úgoing shopping with friends, seeing a movie in a cinema etc etc. You can see that just one category has four or five words, not one word or two. So, if there are 6 categories with about four words each, then the list becomes over 20 words which is obviously just too long for a short report. So, if the list is too long or too many words, you can just say the number = ?úseven categories??&lt;br&gt;Hi Liz,&lt;br&gt;
Could you please help take a look at whether the following sentences are correct in the context? I?ôm not sure if I use ?úa decent rise??in an appropriate way here.&lt;br&gt;The amount of energy generated by coal accounted for 29.80% in 1995 and then went up to 30.93% in 2005. Similarly, the proportion of energy from gas increased from 29.63% to 30.31% in 2005. By contrast, production by nuclear and other sources witnessed a decent rise of around 4% to reach 10.10% and 9.10% respectively in 2005. &lt;br&gt;Thanks a lot! Wish you all the best:)&lt;br&gt;Lily from China&lt;br&gt;Hi Lily,&lt;br&gt;
You write very well. You?ôve got a strong control of grammar with the ability to write well controlled complex sentences. However, the problem is that the word ?údecent??is the wrong word to use. It isn?ôt appropriate to most IELTS lines graphs or charts of change over time. The words you can choose from are:&lt;br&gt;
??dramatic&lt;br&gt;
??considerable&lt;br&gt;
??significant&lt;br&gt;
??and of course, you have opposite adjectives such as insignificant, minimal, small etc&lt;br&gt;
You could also say ??it doubled?? / ?úit more than doubled??/ ?úit tripled??/ ?úit almost tripled??&lt;br&gt;
These are two options for the sentence:&lt;br&gt;
1) ??.witnessed a significant rise of around 4% to reach ??&lt;br&gt;
(but a 4% rise is only significant if we know the figures in the first year so this option is not as appropriate)&lt;br&gt;
2) ??production of energy from nuclear and other sources almost doubled to reach 10.10% and 9.10% respectively in 2005.&lt;br&gt;
The second one is better because it gives us an idea of what the first year figures were which is important to know.&lt;br&gt;I hope this helps.&lt;br&gt;The two pie charts compare proportions of different energy sources in France in the years 1995 and 2005.&lt;br&gt;Overall, it is clear that coal, gas, and petrol were collectively largest share of energy production in both given years. It is also noteworthy that the only decrease in the proportion of energy production was experienced in the case of petrol.&lt;br&gt;In 1995, the most wide-spread energy resource was coal with 29.80%, which was slightly followed by gas and petrol. While the former accounted for 29,63% of total energy production, the latter made up 29,27%. A mere 6.4% of total energy was composed of nuclear power. The remaining 4,9% was responsible for other sources.&lt;br&gt;In 2005, gas and coal were primary energy sources, with both sharing approximately 60% of total energy production. Despite decrease in the percentage of petrol production, the figure remained its position with 19,55%. There was an almost twofold increase in the proportions of nuclear power and other sources production, consisting of 10,10% and 9,10%, respectively.&lt;br&gt;The two pie charts compare five types of energy production (gas, coal, petrol, nuclear and other sources) of France in 1995 and 2005.&lt;br&gt;
Overall, it can be seen that France produces the majority of its energy by only two ways, namely gas and coal, in both years. Moreover, while petrol production decreased, the remaining forms of producing energy witnessed an increase during the period given.&lt;br&gt;
Energy produced by coal and gas accounted for 29.8% and 29.6% respectively in 1995, and both of them experienced a slight increase of about 1% in 2005. Petrol, on the other hand, which accounted for 29.2% in 1995, almost the same as gas and coal, experienced a sharp decrease to 19.5% in 2005.&lt;br&gt;
In terms of Nuclear energy, it comprised of 6.4% in 1995, which grew to 10.1%  in 2005. Similarly, the figure for other sources of energy approximately doubled, rising from 4.9% to 9.1% over the  given period.&lt;br&gt;like this :).&lt;br&gt;HELLO,&lt;br&gt;
These graphs show the comparison of energy production in France in 1995 and 2005. Though there are different kinds of energy production, in these graphs mentioned the most important sources: gas, petro, coal and nuclear.&lt;br&gt;
In 1995, France was generated gas 29.63 % and this is almost the same percent of gas production in 2005. Also these graphs shown, coal is generated by France country nearly the same amount proportion in two years. there was a noticeable difference of other sources, especially petro .in 2005, it was generated 19.55%, otherwise it was generated 29,27% in 1995. The difference between these years was 10%. On the other hand, the small minority of energy production was nuclear. it was generated 6.40% in 1995 and with the slight change approximated to 3 % through ten years.&lt;br&gt;
In my point of view, France will be able to be generate enough energy and import its over production of energy to others in the future. So it will improve its economy and increase incomes in France.   &lt;br&gt;could you possibly to check that?&lt;br&gt;
